CountryCode,SlippiConnectCodes
ve,9#11
cl,MIGUEL#0
cl,ILDE#538
br,E#9
cl,ANON#329
br,MCS#356
cl,NAGI#875
cl,MCC#823
cl,DRP#684
cl,SIGMA#0
cl,DRGS#149
cl,PH#857
cl,SEES#784
cl,TITO#657
ar,PPRS#512
br,BOB#520
cl,KJ#102
cl,SKYY#519
ve,NEOM#753
cl,JOXA#420
cl,MYCO#237
cl,LINK#641
cl,LOPI#111
br,LESO#826
cl,BLAC#569
cl,TEWA#266
ve,NDJ#132
br,BIRA#683
cl,ROCH#304
cl,LINCHO#9
cl,ZERA#938
br,KODO#649
cl,HUNK#582
cl,GUAS#734
cl,ROCK#422
cl,MUZA#281
cl,PIPO#914
br,DRMARI#0
br,AISE#145
cl,DARK#719
cl,MAVE#409
cl,JENS#613
cl,RAIK#405
cl,HOMER#0
cl,POKE#481
cl,PPQL#176
cl,KNCR#731
cl,WOF#331
cl,
br,VLOR#403
br,LAJ#525
br,GUTO#927
br,
br,EVA#485
br,NOT#393
br,IZZI#399
br,TRZ#166
gt,LIAR#4
br,LUDE#803
br,WALK#593
br,ZIM#353
br,CANH#641
br,YUFU#762
br,NINT#411
br,WARI#512
br,KINU#658
us,DYBL#403
br,MURO#881
cl,LEMN#124
cl,MIST#508
cl,CUCO#509
cl,VECE#171
br,ACAB#640
bo,ADTT#185
cl,AKNO#691
us,AMID#505
br,ARSN#291
ar,BLUE#824
cl,BRAT#840
cl,BYXN#310
br,CAIO#966
br,CLWN#583
br,COCK#563
cl,DEIM#907
cl,DSID#627
cl,ELYI#462
cl,ESCR#315
ve,FRAN#434
cl,GAB#894
ar,GNZ#143
br,GODU#315
cl,HANS#348
br,HEND#168
br,HORK#699
uy,IGUANA#0
br,JUAN#576
br,JUDI#499
cl,KLAO#360
cl,LAIN#465
br,LIXO#815
br,LPDE#396
br,LUCA#807
ar,MAZU#655
bo,MICI#573
br,MITS#384
co,MKUN#863
cl,MONK#499
br,NAZO#168
cl,NEKO#690
cl,NIVA#511
pe,OLDN#984
br,PHON#387
cl,PITS#872
ar,POMF#250
cl,POXO#303
cl,PT#208
br,QUAK#657
cl,RACK#607
cl,RAND#649
cl,REKT#716
cl,REM#666
cl,RULO#553
br,SASU#263
cl,SENK#1
cl,SIFO#757
br,SUCK#618
br,TKR#747
cl,TOBA#232
br,TOXC#638
cl,TPOZ#69
br,TXR#205
ar,VINS#130
br,VITO#638
br,WESI#889
cl,ZAG#814
br,PAI#235
br,DRUT#373
br,TRAP#195
br,DEW#118
br,FAUX#488
br,WRNK#877
br,BMC#363
uy,FBRO#960
cl,CHPA#675
uy,ZEKA#232
br,CANT#698
cl,DUAL#322
cl,TAU#542
cl,FELI#609
cl,JAB#203
